Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",0.91,0.2,1.12,6.36,"db.online_retail.find({""StockCode"": ""85123A""})",1.19,0.14,1.33,4.01,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",1.3,0.21,1.51,5,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",1.06,0.19,1.25,5.47
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",1.16,0.13,1.29,3.81,"db.online_retail.find({""StockCode"": ""85123A""})",0.95,0.15,1.1,4.61,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",1.23,0.19,1.42,4.72,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",1.19,0.18,1.37,4.54
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",1.1,0.14,1.24,4.12,"db.online_retail.find({""StockCode"": ""85123A""})",1.18,0.16,1.35,4.58,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",1.76,0.27,2.03,6.19,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",0.92,0.16,1.08,4.21
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",0.77,0.13,0.9,3.86,"db.online_retail.find({""StockCode"": ""85123A""})",1.22,0.15,1.37,4.29,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",1.19,0.21,1.39,5.03,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",0.92,0.15,1.07,4.09
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",0.69,0.13,0.82,3.86,"db.online_retail.find({""StockCode"": ""85123A""})",1.57,0.17,1.74,4.7,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",1.08,0.17,1.26,4.47,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",1.57,0.17,1.73,4.42
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",1.08,0.19,1.27,5.47,"db.online_retail.find({""StockCode"": ""85123A""})",1.4,0.14,1.54,4.42,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",0.71,0.17,0.87,4.45,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",0.99,0.16,1.15,4.3
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",1.26,0.14,1.4,3.93,"db.online_retail.find({""StockCode"": ""85123A""})",0.97,0.14,1.11,4.27,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",1.33,0.18,1.5,4.37,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",1.55,0.16,1.71,4.14
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",0.86,0.15,1.01,4.08,"db.online_retail.find({""StockCode"": ""85123A""})",0.86,0.15,1.01,4.22,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",0.95,0.22,1.16,5.32,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",1.09,0.17,1.25,4.34
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",1.05,0.13,1.18,3.82,"db.online_retail.find({""StockCode"": ""85123A""})",1.32,0.14,1.47,4.52,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",0.97,0.19,1.16,4.99,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",1.65,0.17,1.81,4.37
"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",0.65,0.13,0.78,3.93,"db.online_retail.find({""StockCode"": ""85123A""})",0.56,0.17,0.73,4.7,"select ﻿InvoiceNo, Description from online_retail where StockCode= ""85123A""",2.08,0.2,2.29,4.87,"select ﻿InvoiceNo, Description from online_retail where StockCode= '85123A'",1.47,0.16,1.63,4.21
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';",0.65,0.13,0.78,3.86,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""234"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",1.3,0.16,1.46,4.51,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00','234','17859','United Kingdom');",0.95,0.18,1.12,4.4,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00','234','17859','United Kingdom')",1.17,0.15,1.32,4.3
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';",1.14,0.13,1.28,3.82,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""234"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",1.14,0.14,1.28,4.56,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00','234','17859','United Kingdom');",1.16,0.16,1.32,4.17,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00','234','17859','United Kingdom')",1.55,0.16,1.71,4.35
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';",0.94,0.14,1.08,3.98,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""234"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",0.83,0.16,0.99,4.49,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00','234','17859','United Kingdom');",1.58,0.18,1.76,4.44,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00','234','17859','United Kingdom')",1.29,0.17,1.45,4.36
