Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.77,0.15,1.92,5.49,"db.all_energy_statistics.find({""year"": 1995})",2.17,0.17,2.34,5.99,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",2.56,0.25,2.81,6.47,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.26,0.16,1.42,4.78
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.71,0.14,1.84,4.86,"db.all_energy_statistics.find({""year"": 1995})",1.91,0.15,2.06,5.2,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",2.13,0.22,2.36,5.91,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.39,0.16,1.54,4.53
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.12,0.15,1.27,5.2,"db.all_energy_statistics.find({""year"": 1995})",0.74,0.14,0.88,5.59,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.2,0.23,1.43,6.11,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.39,0.15,1.54,4.62
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.11,0.14,1.25,4.99,"db.all_energy_statistics.find({""year"": 1995})",1.66,0.16,1.82,5.5,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.85,0.25,2.1,6.38,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.16,0.17,1.33,4.85
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",0.9,0.13,1.03,4.98,"db.all_energy_statistics.find({""year"": 1995})",1.65,0.14,1.79,4.88,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.53,0.22,1.75,5.83,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",2.09,0.17,2.26,4.79
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.02,0.14,1.17,4.89,"db.all_energy_statistics.find({""year"": 1995})",1.48,0.13,1.61,4.82,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",2.24,0.25,2.49,6.48,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.19,0.17,1.35,4.77
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",0.65,0.13,0.78,4.9,"db.all_energy_statistics.find({""year"": 1995})",1.02,0.17,1.19,6.52,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.38,0.24,1.62,6.18,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",0.59,0.16,0.75,4.67
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",2.28,0.13,2.41,4.7,"db.all_energy_statistics.find({""year"": 1995})",1.3,0.18,1.48,5.94,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.27,0.23,1.5,6.06,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.08,0.16,1.24,4.73
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.07,0.13,1.2,4.91,"db.all_energy_statistics.find({""year"": 1995})",0.86,0.14,1,4.87,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",3.29,0.24,3.53,6.26,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.36,0.16,1.52,4.85
"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.76,0.14,1.9,4.89,"db.all_energy_statistics.find({""year"": 1995})",1.47,0.14,1.61,5.23,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.48,0.24,1.73,6.27,"select country_or_area, commodity_transaction from all_energy_statistics where year= 1995",1.29,0.17,1.47,4.88
"INSERT INTO all_energy_statistics(KEY, VALUE) VALUES(""2502"",{""country_or_area"": ""India"",""commodity_transaction"": ""Additives and Oxygenates - Exports"",""year"": 2000,""unit"": ""Metric tons,  thousand"",""quantity"": ""10"",""quantity_footnotes"": ""1"",""category"": ""additives_and_oxygenates""});UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;",1.3,0.14,1.44,4.85,"db.all_energy_statistics.insertOne({ ""country_or_area"": ""India"", ""commodity_transaction"": ""Additives and Oxygenates - Exports"" , ""year"": 2000, ""unit"": ""Metric tons,  thousand"", ""quantity"": ""10"" , ""quantity_footnotes"": ""1"", ""category"": ""additives_and_oxygenates""})",1.7,0.12,1.83,5.22,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.27,0.15,1.42,4.61,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.62,0.16,1.78,4.63
"INSERT INTO all_energy_statistics(KEY, VALUE) VALUES(""2502"",{""country_or_area"": ""India"",""commodity_transaction"": ""Additives and Oxygenates - Exports"",""year"": 2000,""unit"": ""Metric tons,  thousand"",""quantity"": ""10"",""quantity_footnotes"": ""1"",""category"": ""additives_and_oxygenates""});UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;",1.96,0.14,2.1,4.87,"db.all_energy_statistics.insertOne({ ""country_or_area"": ""India"", ""commodity_transaction"": ""Additives and Oxygenates - Exports"" , ""year"": 2000, ""unit"": ""Metric tons,  thousand"", ""quantity"": ""10"" , ""quantity_footnotes"": ""1"", ""category"": ""additives_and_oxygenates""})",1.53,0.1,1.63,4.71,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.08,0.15,1.23,4.73,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.33,0.14,1.48,4.37
