Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.67,0.13,0.81,3.99,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",0.9,0.11,1.02,3.79,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",0.43,0.12,0.55,4.05,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.58,0.12,0.7,3.93
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.18,0.12,0.3,4.12,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",0.76,0.11,0.87,3.6,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",0.56,0.12,0.69,4.03,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",1.02,0.12,1.15,4.04
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.5,0.13,0.63,3.83,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",0.41,0.11,0.53,3.63,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",0.34,0.11,0.46,3.75,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.41,0.12,0.53,3.99
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.19,0.12,0.32,3.84,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",0.4,0.11,0.51,3.72,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",0.4,0.11,0.51,3.91,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.62,0.12,0.74,3.84
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.52,0.16,0.68,4.68,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",0.39,0.11,0.5,3.59,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",1.18,0.12,1.29,3.78,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.89,0.13,1.02,4.01
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",1.17,0.16,1.33,4.86,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",0.53,0.11,0.64,3.6,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",0.61,0.11,0.72,3.64,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.61,0.12,0.72,3.85
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.63,0.12,0.75,3.64,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",0.84,0.12,0.96,3.96,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",0.46,0.11,0.57,3.67,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.49,0.12,0.6,3.8
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.46,0.12,0.57,3.79,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",0.63,0.12,0.75,3.71,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",0.78,0.11,0.89,3.91,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.42,0.12,0.54,3.84
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.52,0.13,0.65,3.85,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",0.3,0.11,0.41,3.62,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",0.12,0.11,0.23,3.71,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.31,0.11,0.43,3.72
"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.45,0.11,0.57,3.62,"db.netflix_userbase.find({""Subscription_Type"": ""Basic""})",0.47,0.11,0.58,3.55,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= ""Basic""",0.24,0.11,0.35,3.67,"select User_ID,Join_Date,Country,Age from netflix_userbase where Subscription_Type= 'Basic'",0.26,0.11,0.37,3.87
